opposingTeam,home_or_away,icetime,gameScore,I_F_primaryAssists,I_F_secondaryAssists,log10_I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_penalityMinutes,log10_I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,I_F_dZoneGiveaways,penalityMinutesDrawn,penaltiesDrawn
MTL,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTL,AWAY,3.032215703297981,0.15,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.9542425094393248,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
MTL,AWAY,2.9661417327390325,0.15,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.9030899869919436,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
MTL,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTL,AWAY,2.184691430817599,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYI,AWAY,1.7781512503836436,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYI,AWAY,2.9938769149412114,0.445,0.0,0.0,0.6020599913279624,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.7781512503836436,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
NYI,AWAY,2.941511432634403,0.445,0.0,0.0,0.6020599913279624,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.7781512503836436,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
NYI,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYI,AWAY,1.7323937598229686,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
