requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
2,263.4965,1.0,0.0,2.5,1.0,2,1,0
7,0.010285714,1.0,37.94517299,17.71428571,0.857142857,1,7,0
9,0.603888889,1.0,29.667209200000002,39.66666667,0.666666667,1,9,0
1,0.0,1.0,0.0,5.0,1.0,1,1,0
34,856.6164706000001,1.0,21.81227022,96.58823529,0.970588235,4,29,0
1,0.0,1.0,0.0,3.0,1.0,1,1,0
9,12.08333333,1.0,29.35883247,10.44444444,1.0,2,8,0
79,208.6707595,1.0,12.22587025,15.92405063,1.0,3,69,0
92,338.25377169999996,0.994565217,45.93366805,325.73913039999996,0.97826087,3,90,0
1,0.0,1.0,137.60058590000003,206.0,1.0,1,1,0
6155,12.22375188,0.6721753090000001,0.9682987120000001,73.35207402,0.080050743,11,6123,1
6746,11.35439982,0.791525765,4.35665789,71.33423971,0.06632108,13,3815,1
1,0.0,1.0,0.0,3.0,1.0,1,1,0
1,0.0,1.0,0.0,1.0,1.0,1,1,0
246,119.21783329999998,1.0,95.23552226,283.695122,0.971544715,4,43,0
14,1051.566429,1.0,20.93945313,101.8571429,0.857142857,2,14,0
23,6.206347826,1.0,797.0473421,533.6956522,0.956521739,3,17,0
1,0.0,1.0,0.0,5.0,1.0,1,1,0
29,236.5566207,1.0,33.70955684,51.79310345,0.9655172409999999,3,25,0
14,1688.521214,1.0,0.0,26.92857143,1.0,2,14,0
2,10868.7705,1.0,0.0,4.0,1.0,2,2,0
1542,30.2723619,0.687716414,183.06315769999998,100.98583509999999,0.848614236,3,414,1
1,0.0,1.0,0.0,6.0,1.0,1,1,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
1524,7.7711662210000005,0.42414141,205.84196310000002,232.04555789999998,0.09211133,2,1491,1
1245,18.90377138,0.129848224,650.1936244,2627.5372469999998,0.31651888,4,1032,1
1,0.0,1.0,270.19726560000004,2995.0,1.0,1,1,0
13154,5.682416497,0.8830637929999999,609.5999408,87.69799637,0.9804612890000001,6,577,1
1287,52.58689288,0.244398895,8.087127739,108.06591850000001,0.143055281,6,678,1
187,404.3348555,0.311033316,8.203250253,75.49037871,0.023539807000000003,1,129,1
7,0.8372857140000001,1.0,34.10072545,45.42857143,1.0,1,7,0
13201,5.682168701,0.883092285,609.7458261,102.7855646,0.9730218840000001,6,577,1
1,0.0,1.0,0.0,3.0,1.0,1,1,0
9,0.149444444,1.0,29.667209200000002,20.77777778,0.8888888890000001,1,9,0
70,179.8521571,1.0,9.227287946,11.94285714,1.0,2,43,0
9,5228.784333,1.0,0.0,62.88888889,1.0,3,8,0
3,0.5083333329999999,1.0,91.82942708,189.0,1.0,1,3,0
1,0.0,1.0,421.234375,276.0,1.0,1,1,0
13,25.33330769,1.0,58.475811300000004,111.92307690000001,1.0,2,11,0
134,7.404619403,0.929104478,429.3764867,1585.656716,0.9701492540000001,4,118,0
96,1.5731041669999999,0.96875,33.2304484,110.32291670000001,0.916666667,2,96,0
27,1471.464333,1.0,33.10297309,28.40740741,1.0,3,25,0
92,256.6301848,1.0,26.58467434,624.2934783,0.989130435,3,86,0
25644,2.9369044719999997,0.281566529,0.9179372920000001,152.273684,0.038116422000000004,11,25622,1
3,0.076,1.0,77.27148438,524.3333333,0.666666667,1,3,0
289,164.3669516,0.968858131,26.33199746,85.08304498,0.916955017,4,107,0
5,0.3692,1.0,47.74101563,253.0,1.0,2,5,0
1,0.0,1.0,137.60058590000003,120.0,1.0,1,1,0
2,1354.6015,1.0,21.46875,2.0,1.0,2,1,0
1,0.0,0.5,226.1699219,743.0,0.0,1,1,0
1,0.0,1.0,303.7412109,1161.0,1.0,1,1,0
1,0.0,0.5,90.44238281,172.0,0.0,1,1,0
19,0.871157895,1.0,8.985557155,25.21052632,1.0,1,19,0
9,0.27055555600000003,1.0,29.667209200000002,49.0,0.8888888890000001,1,9,0
18,1218.245333,1.0,14.84478082,16.27777778,0.944444444,2,9,0
9,118.09844440000002,1.0,6.739800347,101.33333329999999,1.0,3,6,0
5,1.3638,1.0,0.0,16.4,1.0,1,5,0
34,3.373411765,1.0,1.099235983,49.52941176,0.9117647059999999,1,33,0
45,992.7993332999998,1.0,42.9672092,50.84444444,1.0,4,42,0
1,0.0,1.0,0.0,4.0,1.0,1,1,0
37,0.10208108099999999,1.0,32.2927576,12.75675676,1.0,1,37,0
1,0.0,1.0,21.46875,2.0,1.0,1,1,0
1,0.0,1.0,0.0,3.0,1.0,1,1,0
5,0.196,1.0,42.79453125,63.8,0.8,1,5,0
5,0.057999999999999996,1.0,2.098242188,37.0,0.8,1,5,0
9,0.262,1.0,29.667209200000002,13.66666667,0.8888888890000001,1,9,0
1929,23.04372997,0.283129801,2058.061491,1002.8538699999999,0.48316357299999996,3,1369,1
44,353.65475,1.0,14.77723278,34.90909091,0.931818182,3,19,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
10683,7.0501776970000005,0.8587817529999999,45.91234472,30.45486258,0.799467605,6,1378,1
10,1664.7103,1.0,26.70048828,228.7,0.9,2,10,0
52,976.3815962000001,1.0,25.70588567,188.25,0.923076923,3,41,0
10,812.3829,1.0,26.70048828,73.3,0.9,2,10,0
5,0.1,1.0,16.33144531,15.2,0.8,1,5,0
41,0.46887804899999996,1.0,26.07891101,6.5121951220000005,0.975609756,1,41,0
5,0.2914,1.0,15.29453125,184.6,0.8,1,5,0
77,776.2836364,1.0,10.12290737,44.55844156,1.0,4,43,0
1,0.0,1.0,0.0,3.0,1.0,1,1,0
21,0.101714286,1.0,0.0,2.238095238,1.0,1,21,0
9,6.411333332999999,1.0,31.198459200000002,7.1111111110000005,1.0,2,9,0
1,0.0,1.0,0.0,149.0,0.0,1,1,0
17,0.117411765,1.0,120.26941640000001,260.1176471,0.9411764709999999,2,17,0
12,3028.4815,1.0,12.03735352,18.41666667,1.0,3,11,0
15503,4.8596813139999995,0.8027770479999999,2.867967718,54.73162075,0.062006373,7,6944,1
1,0.0,1.0,0.0,3.0,1.0,1,1,0
1,0.0,1.0,0.0,4.0,1.0,1,1,0
26,24.91873077,1.0,53.68449519,32.84615385,1.0,2,25,0
10,249.8327,1.0,26.70048828,75.4,0.9,2,10,0
3,14647.438,1.0,0.0,4.0,1.0,2,1,0
172,125.3112558,1.0,5.037256995,8.610465116,1.0,2,78,0
9,0.332777778,1.0,29.667209200000002,299.22222220000003,0.8888888890000001,1,9,0
79,5.979240506,0.955696203,207.2201221,111.0759494,0.936708861,2,76,0
222,249.7998739,0.943693694,34.24667001,87.25675676,0.878378378,5,135,0
12,1984.875917,1.0,22.250406899999998,22.0,0.916666667,3,10,0
8,0.10725,1.0,33.20227051,9.875,1.0,1,8,0
1,0.0,1.0,0.0,2.0,1.0,1,1,0
6,0.14800000000000002,1.0,105.214681,238.16666669999998,0.833333333,1,6,0
15,2.593666667,1.0,8.789583333,6.066666667000001,1.0,3,11,0
15,367.5306667,1.0,15.91367188,50.33333333,0.8666666670000001,4,8,0
9,0.295222222,1.0,29.667209200000002,13.22222222,0.8888888890000001,1,9,0
27327,2.761795383,0.536707128,3.624786607,114.9628446,0.177122773,10,20809,1
1,0.0,1.0,0.0,2.0,1.0,1,1,0
1,0.0,1.0,0.09472656300000001,1.0,0.0,1,1,0
3,12993.82267,1.0,0.0,2.666666667,1.0,3,1,0
21,5.528809524,0.857142857,40.31789435,52.9047619,0.23809523800000001,2,21,0
34,5.344441176,1.0,54.98991843,12.0,1.0,3,33,0
61,0.8239836070000001,1.0,23.14752497,552.3278688999999,0.983606557,1,61,0
1,0.0,1.0,0.0,1.0,1.0,1,1,0
677,13.16306841,0.284535135,1897.335262,1534.9973009999999,0.315145419,2,570,1
1,0.0,1.0,0.0,4.0,1.0,1,1,0
58,2.422137931,0.793103448,189.710988,2684.896552,0.8275862070000001,2,58,0
128,43.96246094,1.0,2.854728699,16.390625,1.0,1,75,0
7734,9.736842168999999,0.727475908,0.5926481920000001,71.56355457,0.124955933,11,7310,1
81,0.6625679010000001,1.0,23.25413532,183.45679009999998,0.962962963,1,78,0
9090,8.285890192,0.6898088790000001,0.843782813,49.58546320000001,0.09194230800000001,11,8632,1
9,0.225666667,1.0,29.667209200000002,23.33333333,0.8888888890000001,1,9,0
929,12.56972692,0.233492376,987.0609497000002,776.4317823,0.085197545,1,919,1
1,0.0,1.0,0.0,2.0,1.0,1,1,0
16220,4.670996243,0.7898982459999999,0.529615799,59.86450534,0.027963187999999996,10,6353,1
1,0.0,1.0,0.0,1.0,1.0,1,1,0
17,119.7642353,1.0,1.740349265,16.47058824,0.882352941,1,10,0
26,878.6153846000001,1.0,15.24196214,29.88461538,0.961538462,3,17,0
9,0.307222222,1.0,29.667209200000002,52.22222222,0.8888888890000001,1,9,0
